datum;uitspoeling;afstroming;verhouding
2017-03-27;2170.28824524033;0;100
2017-03-28;1980.8420193543;0;100
2017-03-29;1830.35129412885;0;100
2017-03-30;1744.88197062268;0;100
2017-03-31;1621.31386421093;0;100
2017-04-01;1584.90521272605;0;100
2017-04-02;1553.31322545801;0;100
2017-04-03;1449.78411281063;0;100
2017-04-04;1393.82294998701;0;100
2017-04-05;1318.67102292845;0;100
2017-04-06;1327.2548042755;0;100
2017-04-07;1277.36080649406;0;100
2017-04-08;1200.36820043848;0;100
2017-04-09;1173.91469664928;0;100
2017-04-10;1140.45813275523;0;100
2017-04-11;1096.63564420048;0;100
2017-04-12;1123.51837333832;0;100
2017-04-13;1117.84082226854;0;100
2017-04-14;1101.70476956779;0;100
2017-04-15;1161.98513361754;0;100
2017-04-16;1192.99390382669;0;100
2017-04-17;2266.85497918881;0;100
2017-04-18;2027.110030951;0;100
2017-04-19;1583.76870622576;0;100
2017-04-20;1306.10385060364;0;100
2017-04-21;1275.78774568132;0;100
2017-04-22;1300.13465869554;0;100
2017-04-23;1282.60187795156;0;100
2017-04-24;1223.03066821467;0;100
2017-04-25;1381.52680410952;0;100
2017-04-26;1319.47570049599;0;100
2017-04-27;1388.86597771054;0;100
2017-04-28;1593.45815848439;0;100
2017-04-29;1309.72305396551;0;100
2017-04-30;1243.78531581235;0;100
2017-05-01;1164.20077824692;0;100
2017-05-02;1127.15825062044;0;100
2017-05-03;1283.49016139146;0;100
2017-05-04;1387.85771364597;0;100
2017-05-05;1297.27639297099;0;100
2017-05-06;1298.85224821523;0;100
2017-05-07;1129.12085028599;0;100
2017-05-08;1159.37573553796;0;100
2017-05-09;1111.796678715;0;100
2017-05-10;1106.83143155601;0;100
2017-05-11;1075.4869576247;0;100
2017-05-12;1197.35705509141;0;100
2017-05-13;2835.32371518858;0;100
2017-05-14;2656.86857895226;0;100
2017-05-15;2006.77166185415;0;100
2017-05-16;1361.80138655171;0;100
2017-05-17;1084.96848246842;0;100
2017-05-18;1080.70603735083;0;100
2017-05-19;1117.33575076987;0;100
2017-05-20;1149.97401534844;0;100
2017-05-21;1175.41482011981;0;100
2017-05-22;1055.48923908943;0;100
2017-05-23;1034.64376765882;0;100
2017-05-24;1022.56107909188;0;100
2017-05-25;973.973098073898;0;100
2017-05-26;923.550266491315;0;100
2017-05-27;874.378665898656;0;100
2017-05-28;842.883125369807;0;100
2017-05-29;838.241098301659;0;100
2017-05-30;834.811697588429;0;100
2017-05-31;843.430511973173;0;100
2017-06-01;843.186573190845;0;100
2017-06-02;865.438366198316;0;100
2017-06-03;864.655242757805;0;100
2017-06-04;863.64462632732;0;100
2017-06-05;866.492534153566;0;100
2017-06-06;861.458703078803;0;100
2017-06-07;970.346501941132;0;100
2017-06-08;1853.69647849543;0;100
2017-06-09;3613.86282871646;0;100
2017-06-10;4204.47759678217;0;100
2017-06-11;2936.07814026218;0;100
2017-06-12;1828.00691159596;0;100
2017-06-13;1362.41161418444;0;100
2017-06-14;1081.81050898158;0;100
2017-06-15;1001.43826518812;0;100
2017-06-16;950.598114307027;0;100
